traffic_id,date,hour_of_day,city,traffic_level,congestion_delay_minutes,average_speed_kmh,incident_count,road_closure_count,weather_impact,is_peak_hours
1,2025-06-21,0,Sydney,Light,2.5,23.8,0,0,None,0
2,2025-06-21,0,Melbourne,Light,4.2,43.9,3,0,Heavy,0
3,2025-06-21,0,Brisbane,Light,3.7,59.7,3,1,Heavy,0
4,2025-06-21,0,Perth,Light,3.7,50.1,1,1,Heavy,0
5,2025-06-21,0,Adelaide,Light,3.1,30.9,2,1,Heavy,0
6,2025-06-21,0,Gold Coast,Light,4.4,53.1,3,0,Heavy,0
7,2025-06-21,0,Newcastle,Light,4.2,25.5,2,1,Heavy,0
8,2025-06-21,0,Canberra,Light,1.7,52.2,1,0,Moderate,0
9,2025-06-21,0,Sunshine Coast,Moderate,3.0,23.3,0,0,Moderate,0
10,2025-06-21,0,Wollongong,Light,1.1,46.5,2,1,Moderate,0
11,2025-06-21,1,Sydney,Light,1.4,69.9,0,0,Moderate,0
12,2025-06-21,1,Melbourne,Moderate,2.6,31.1,1,0,None,0
13,2025-06-21,1,Brisbane,Moderate,1.7,46.7,0,1,None,0
14,2025-06-21,1,Perth,Light,2.4,45.6,1,0,Light,0
15,2025-06-21,1,Adelaide,Light,4.2,74.1,2,1,Light,0
16,2025-06-21,1,Gold Coast,Light,1.0,73.4,1,1,Moderate,0
17,2025-06-21,1,Newcastle,Moderate,4.3,77.7,1,0,Light,0
18,2025-06-21,1,Canberra,Moderate,0.4,26.0,2,1,Heavy,0
19,2025-06-21,1,Sunshine Coast,Light,3.8,55.7,2,1,Heavy,0
20,2025-06-21,1,Wollongong,Light,1.2,62.2,3,0,Moderate,0
21,2025-06-21,2,Sydney,Light,3.3,27.6,1,0,None,0
22,2025-06-21,2,Melbourne,Light,1.3,75.4,2,1,Moderate,0
23,2025-06-21,2,Brisbane,Light,4.6,31.6,3,1,Light,0
24,2025-06-21,2,Perth,Light,2.2,45.2,2,1,Moderate,0
25,2025-06-21,2,Adelaide,Moderate,2.5,27.0,3,0,Light,0
26,2025-06-21,2,Gold Coast,Light,4.3,65.7,1,0,Heavy,0
27,2025-06-21,2,Newcastle,Moderate,3.9,36.5,2,0,Light,0
28,2025-06-21,2,Canberra,Light,0.4,69.8,2,1,Moderate,0
29,2025-06-21,2,Sunshine Coast,Moderate,3.2,67.5,2,0,Heavy,0
30,2025-06-21,2,Wollongong,Light,2.4,74.0,0,0,Heavy,0
31,2025-06-21,3,Sydney,Light,0.6,28.3,0,0,Light,0
32,2025-06-21,3,Melbourne,Light,3.1,31.5,0,0,Moderate,0
33,2025-06-21,3,Brisbane,Moderate,3.9,77.0,2,1,Moderate,0
34,2025-06-21,3,Perth,Light,2.1,46.1,0,1,None,0
35,2025-06-21,3,Adelaide,Moderate,0.2,63.6,0,0,Moderate,0
36,2025-06-21,3,Gold Coast,Light,3.5,72.2,0,0,Light,0
37,2025-06-21,3,Newcastle,Light,4.3,36.5,1,1,None,0
38,2025-06-21,3,Canberra,Moderate,2.5,31.8,0,0,None,0
39,2025-06-21,3,Sunshine Coast,Moderate,1.7,54.5,1,0,Heavy,0
40,2025-06-21,3,Wollongong,Light,4.8,55.8,0,0,Light,0
41,2025-06-21,4,Sydney,Light,0.3,58.6,2,0,None,0
42,2025-06-21,4,Melbourne,Moderate,4.1,78.7,2,0,Heavy,0
43,2025-06-21,4,Brisbane,Light,2.9,21.6,0,1,None,0
44,2025-06-21,4,Perth,Light,0.4,73.6,1,1,None,0
45,2025-06-21,4,Adelaide,Light,1.5,56.5,2,0,Moderate,0
46,2025-06-21,4,Gold Coast,Moderate,2.5,27.6,0,1,None,0
47,2025-06-21,4,Newcastle,Moderate,1.9,40.1,0,1,Light,0
48,2025-06-21,4,Canberra,Light,3.9,77.9,1,1,None,0
49,2025-06-21,4,Sunshine Coast,Moderate,1.5,55.8,0,1,Heavy,0
50,2025-06-21,4,Wollongong,Light,4.4,39.8,2,0,Heavy,0
51,2025-06-21,5,Sydney,Light,1.1,63.0,0,1,Heavy,0
52,2025-06-21,5,Melbourne,Light,3.4,66.9,0,0,Light,0
53,2025-06-21,5,Brisbane,Light,2.8,57.6,1,0,Heavy,0
54,2025-06-21,5,Perth,Moderate,2.0,46.4,0,1,Light,0
55,2025-06-21,5,Adelaide,Light,2.5,69.9,3,0,Moderate,0
56,2025-06-21,5,Gold Coast,Light,0.9,35.6,0,0,Light,0
57,2025-06-21,5,Newcastle,Light,4.6,52.4,2,1,Light,0
58,2025-06-21,5,Canberra,Light,4.1,52.7,1,1,None,0
59,2025-06-21,5,Sunshine Coast,Light,2.4,65.1,1,0,Moderate,0
60,2025-06-21,5,Wollongong,Moderate,4.0,44.6,2,1,Light,0
