maintenance_id,vehicle_id,maintenance_type,maintenance_date,maintenance_mileage,maintenance_cost_usd,maintenance_duration_hours,next_maintenance_due_date,next_maintenance_due_mileage,maintenance_status,risk_score,parts_replaced,service_provider,warranty_covered
1,VH0001,Brake Service,2022-01-07,481520,1104.44,6.4,2022-03-31,300262,Completed,3,"[""reiciendis"", ""nemo"", ""occaecati""]",Mathis PLC,True
2,VH0001,Routine Service,2022-05-07,302834,294.27,2.3,2022-10-07,153992,Completed,5,"[""dicta"", ""minima"", ""quis""]",Casey PLC,False
3,VH0001,Routine Service,2025-07-08,469987,660.66,6.3,2025-09-01,428129,Scheduled,4,"[""quos"", ""odio"", ""animi""]",Hess PLC,False
4,VH0001,Routine Service,2022-09-17,51251,519.08,1.8,2023-01-24,214775,Completed,5,"[""doloremque"", ""a""]",Mahoney Group,True
5,VH0001,Tire Replacement,2022-08-23,164829,1623.96,1.2,2023-02-13,359157,Completed,8,"[""explicabo"", ""vero""]",Kidd-Kirby,False
6,VH0001,Electrical Repair,2022-05-21,465016,903.79,7.9,2022-06-29,365390,Scheduled,3,"[""quaerat"", ""id"", ""aperiam""]",Stevenson PLC,True
7,VH0001,Body Work,2021-10-13,51458,1913.4,2.5,2022-02-17,221787,In Progress,9,"[""commodi"", ""nam""]","Martinez, Taylor and Hawkins",True
8,VH0001,Oil Change,2022-09-02,158128,91.35,7.3,2022-10-10,491557,Completed,7,"[""non"", ""eos"", ""similique""]","Bernard, Flores and Fleming",True
9,VH0001,Body Work,2022-12-08,455109,2717.42,1.6,2023-02-05,377545,Scheduled,1,[],Petty-Zimmerman,False
10,VH0001,Tire Replacement,2022-08-23,223731,422.64,7.1,2023-01-31,411874,In Progress,10,"[""ut"", ""iste""]",Clark-Haley,False
11,VH0001,Routine Service,2022-11-16,116577,405.66,7.1,2023-04-19,388676,Scheduled,2,[],"Anderson, Nielsen and Lynch",True
12,VH0001,Transmission Service,2021-07-03,86651,3314.36,3.1,2021-08-27,380786,Completed,10,[],Chambers Group,True
13,VH0001,Preventive Maintenance,2023-11-03,182719,461.21,5.7,2024-02-09,418164,Scheduled,9,[],"Warner, Farmer and Medina",False
14,VH0001,Preventive Maintenance,2024-10-26,375922,437.98,1.9,2025-04-09,355793,Scheduled,9,"[""totam"", ""totam""]",Ryan Ltd,False
15,VH0001,Body Work,2023-05-16,446178,969.99,6.9,2023-09-17,319329,Scheduled,1,"[""cupiditate""]",Stanton-Bennett,False
16,VH0002,Electrical Repair,2023-09-03,450864,317.83,2.1,2024-02-28,86179,In Progress,3,"[""molestias"", ""dolorum""]","Terrell, Martinez and Wood",False
17,VH0002,Engine Repair,2021-07-29,430614,1918.06,5.7,2021-12-26,479464,In Progress,9,"[""accusamus"", ""est""]","Smith, Campbell and Morse",True
18,VH0002,Engine Repair,2022-06-03,313757,7065.32,1.2,2022-08-20,193904,In Progress,4,"[""consectetur""]","Garrett, Stokes and Walker",True
19,VH0002,Electrical Repair,2025-08-13,63163,784.9,4.8,2025-12-11,230299,Completed,1,"[""magni""]",Campbell Ltd,False
20,VH0002,Electrical Repair,2024-03-19,389421,614.2,3.6,2024-08-13,300784,Completed,8,"[""eos"", ""ab"", ""eius""]","Foster, Kane and Carroll",True
21,VH0002,Body Work,2023-02-14,117355,2886.16,6.8,2023-07-22,273400,Scheduled,1,"[""quod""]",Keller PLC,True
22,VH0002,Transmission Service,2024-01-14,312925,1968.26,6.1,2024-05-16,174721,In Progress,10,"[""sed"", ""recusandae"", ""doloribus""]",Chapman Ltd,True
23,VH0002,Transmission Service,2020-12-01,212799,4771.88,1.1,2021-03-07,371466,Scheduled,9,"[""facilis"", ""reiciendis""]",Ibarra Ltd,True
24,VH0002,Oil Change,2024-08-07,289423,136.39,1.1,2024-09-19,471491,In Progress,5,"[""earum""]","Johnson, Booker and Byrd",True
25,VH0002,Oil Change,2023-09-28,227789,99.82,2.3,2024-02-10,163898,Scheduled,8,"[""vero"", ""ratione""]",Smith-Simmons,False
26,VH0002,Body Work,2024-01-16,289921,1924.37,1.5,2024-04-02,475993,Completed,3,"[""totam"", ""asperiores""]",Reynolds-Carney,True
27,VH0002,Electrical Repair,2021-12-28,403001,1276.41,1.1,2022-05-31,398326,In Progress,4,"[""vero""]","Owens, Ward and Blake",False
28,VH0002,Engine Repair,2025-02-14,242168,6735.55,6.0,2025-03-25,286931,Completed,7,"[""et""]",Ramirez Group,True
29,VH0002,Oil Change,2023-04-27,492920,67.22,3.9,2023-10-17,314487,Scheduled,6,"[""ipsam"", ""ab""]",Lee-Miller,False
30,VH0002,Transmission Service,2023-07-10,276249,2090.94,4.8,2023-11-26,146411,Scheduled,8,"[""alias"", ""et"", ""voluptas""]",Rosario-Stark,True
31,VH0002,Brake Service,2021-08-06,225351,913.42,2.1,2021-09-22,388279,Completed,5,[],Collins-Garrett,True
32,VH0002,Routine Service,2021-01-30,206713,528.12,7.0,2021-03-06,197003,Scheduled,1,"[""perferendis"", ""non"", ""alias""]","Robles, Mcconnell and Pittman",True
33,VH0002,Brake Service,2021-11-08,105296,1010.92,6.0,2022-01-23,430597,Scheduled,6,"[""pariatur""]",Benjamin Inc,True
34,VH0003,Routine Service,2024-11-04,318949,796.53,7.8,2025-01-14,472259,Completed,1,"[""quasi"", ""ex""]",Parsons PLC,False
35,VH0003,Routine Service,2022-12-19,371957,643.43,1.1,2023-02-13,460617,Scheduled,4,"[""consequatur""]","Griffin, Martinez and Villegas",False
36,VH0003,Tire Replacement,2025-04-23,278765,448.67,7.3,2025-10-15,420624,Completed,8,[],Edwards-Abbott,False
37,VH0003,Transmission Service,2021-02-18,339397,3764.6,3.4,2021-07-27,328224,Completed,4,"[""debitis"", ""assumenda""]",Brown-Bishop,False
38,VH0003,Routine Service,2022-12-07,216601,279.07,1.1,2023-05-30,160272,Scheduled,1,[],Byrd PLC,True
39,VH0003,Tire Replacement,2021-01-26,413229,1910.93,3.5,2021-04-20,466380,In Progress,9,[],Morales-Williamson,False
40,VH0003,Body Work,2022-10-31,315930,1999.61,2.0,2022-12-21,474953,Scheduled,3,"[""sapiente"", ""unde""]","Smith, Reyes and Pope",True
41,VH0003,Brake Service,2025-02-16,207603,948.09,3.8,2025-05-09,317256,Scheduled,9,"[""sit"", ""consequuntur""]",Curtis-Lowe,False
42,VH0003,Transmission Service,2020-12-10,108907,4215.28,4.4,2021-03-12,196997,Scheduled,3,[],"Murphy, Lee and Garcia",False
43,VH0003,Brake Service,2023-09-25,131909,759.34,1.1,2023-12-05,450125,Scheduled,4,"[""atque"", ""rerum"", ""earum""]","Martinez, Hicks and Kelly",False
44,VH0003,Brake Service,2023-03-06,498096,624.76,2.0,2023-05-03,470223,Completed,7,"[""sit""]",Lopez-Taylor,True
45,VH0003,Routine Service,2021-01-11,244265,310.6,6.7,2021-02-15,141637,In Progress,8,"[""debitis"", ""ipsa""]","Graham, Moyer and Webster",False
46,VH0003,Electrical Repair,2022-05-05,152294,913.14,3.5,2022-09-13,419925,Completed,1,[],"Rowe, Hernandez and Parker",True
47,VH0003,Engine Repair,2022-07-01,472718,5571.04,7.4,2022-12-19,497473,Scheduled,8,"[""maxime"", ""accusamus""]","Willis, Gregory and Brown",True
48,VH0003,Body Work,2023-04-21,418440,1493.66,3.7,2023-08-12,304000,Scheduled,10,"[""ratione"", ""asperiores""]",Cooper-Bray,True
49,VH0003,Engine Repair,2023-12-16,66015,5801.87,7.7,2024-03-05,454024,In Progress,9,"[""eligendi"", ""atque""]",Lopez-Alvarez,True
50,VH0003,Body Work,2024-03-17,403408,991.74,6.6,2024-08-24,169428,In Progress,3,"[""omnis"", ""sapiente""]","Rivera, Lane and Mccarty",False
51,VH0003,Routine Service,2023-11-02,207216,217.06,2.3,2023-12-02,180904,Scheduled,9,[],Murphy-Garcia,True
52,VH0004,Body Work,2025-05-26,282369,2043.5,7.0,2025-10-07,484867,In Progress,9,"[""animi""]",Robinson-Smith,True
53,VH0004,Tire Replacement,2023-09-19,358426,537.7,3.5,2023-12-20,336925,Scheduled,2,[],Owens and Sons,False
54,VH0004,Transmission Service,2023-10-04,468933,2082.5,2.3,2024-03-10,433275,In Progress,6,"[""iure""]","Bennett, Ross and Mckenzie",False
55,VH0004,Oil Change,2023-02-28,197294,133.72,4.9,2023-07-20,335566,Scheduled,6,"[""accusamus""]",Howard PLC,True
56,VH0004,Engine Repair,2023-06-10,332280,6832.46,3.4,2023-07-30,176101,In Progress,4,"[""illum"", ""nulla""]",Welch LLC,True
57,VH0004,Transmission Service,2023-04-04,235986,3881.48,7.2,2023-08-19,332596,Scheduled,2,"[""aliquam"", ""eius"", ""eius""]",Thompson-Mcclure,False
58,VH0004,Routine Service,2024-12-29,259683,760.33,6.4,2025-05-16,425000,Scheduled,7,"[""labore"", ""quod""]",White Inc,True
59,VH0005,Engine Repair,2024-12-30,335120,6372.1,2.2,2025-02-17,65593,Completed,10,"[""fuga"", ""consequuntur""]",Decker and Sons,True
60,VH0005,Oil Change,2025-03-05,233632,66.32,4.6,2025-07-26,386235,In Progress,7,"[""culpa""]",Boyle-Torres,False
61,VH0005,Engine Repair,2025-01-19,309791,1036.54,3.0,2025-03-30,176211,Scheduled,8,"[""minima"", ""ut""]",Pugh PLC,False
62,VH0005,Body Work,2025-08-13,335240,1682.27,7.8,2026-01-26,268194,Scheduled,7,"[""at"", ""cumque""]",Andrade and Sons,True
63,VH0005,Tire Replacement,2025-07-16,295500,650.68,3.7,2026-01-12,393760,Scheduled,6,[],Patel Ltd,True
64,VH0005,Transmission Service,2025-03-03,263332,4730.13,4.0,2025-07-20,356120,In Progress,8,"[""sapiente"", ""nobis"", ""tempora""]",Mccall PLC,True
65,VH0005,Electrical Repair,2025-05-10,340582,1154.67,5.7,2025-09-03,416382,Completed,10,"[""quidem""]",Clarke-Murphy,False
66,VH0005,Oil Change,2024-11-21,437148,82.97,7.5,2025-02-24,410832,Scheduled,10,"[""hic"", ""debitis""]","Schmitt, Blackwell and Clark",False
