weather_id,date,city,condition,temperature_c,humidity_percent,wind_speed_kmh,precipitation_mm,visibility_km,weather_severity_score,driving_impact_score
1,2024-09-20,Sydney,Heavy Rain,20.3,34,1.5,0.0,17.6,5.9,8.0
2,2024-09-20,Melbourne,Cloudy,15.1,64,12.6,19.7,31.7,2.8,4.2
3,2024-09-20,Brisbane,Cloudy,22.2,53,31.9,0.0,11.0,5.8,6.2
4,2024-09-20,Perth,Light Rain,14.0,58,43.3,0.0,48.2,9.3,9.4
5,2024-09-20,Adelaide,Partly Cloudy,15.1,63,4.0,0.0,19.8,5.8,4.0
6,2024-09-20,Gold Coast,Light Rain,24.8,52,45.7,0.0,12.5,6.2,4.6
7,2024-09-20,Newcastle,Fog,18.8,58,17.2,0.0,35.9,1.9,8.7
8,2024-09-20,Canberra,Clear,24.1,80,18.5,0.0,34.1,5.7,9.6
9,2024-09-20,Sunshine Coast,Heavy Rain,24.2,71,0.8,0.0,26.9,7.1,8.4
10,2024-09-20,Wollongong,Partly Cloudy,13.4,69,31.4,0.0,35.4,5.6,6.2
11,2024-09-21,Sydney,Clear,23.9,91,30.0,0.0,14.0,8.5,4.0
12,2024-09-21,Melbourne,Fog,13.5,34,4.3,0.0,22.8,1.8,3.6
13,2024-09-21,Brisbane,Fog,11.6,71,10.1,0.0,12.8,6.6,2.9
14,2024-09-21,Perth,Storm,16.3,42,11.9,0.0,43.3,1.4,9.6
15,2024-09-21,Adelaide,Fog,14.0,49,34.9,0.0,9.9,9.6,8.1
16,2024-09-21,Gold Coast,Cloudy,10.5,52,22.8,0.0,47.7,2.1,6.3
17,2024-09-21,Newcastle,Clear,17.1,46,37.9,0.0,21.2,3.1,5.6
18,2024-09-21,Canberra,Fog,18.4,74,20.1,46.8,30.1,9.2,8.0
19,2024-09-21,Sunshine Coast,Cloudy,16.2,94,20.8,26.9,17.6,8.8,2.2
20,2024-09-21,Wollongong,Heavy Rain,20.6,73,49.2,14.0,33.4,7.6,4.8
21,2024-09-22,Sydney,Fog,15.5,70,39.4,14.4,27.6,3.7,6.5
22,2024-09-22,Melbourne,Clear,11.8,84,49.3,0.0,47.0,1.1,1.4
23,2024-09-22,Brisbane,Cloudy,12.3,77,32.0,0.0,44.5,1.7,3.1
24,2024-09-22,Perth,Fog,19.6,44,40.0,3.5,5.3,4.1,1.3
25,2024-09-22,Adelaide,Storm,13.1,84,27.8,0.0,9.5,3.7,8.7
26,2024-09-22,Gold Coast,Light Rain,17.9,79,29.3,24.5,27.5,8.7,9.9
27,2024-09-22,Newcastle,Light Rain,13.3,86,36.0,0.0,23.6,7.7,2.2
28,2024-09-22,Canberra,Storm,22.7,51,46.0,0.0,47.7,1.6,3.0
29,2024-09-22,Sunshine Coast,Storm,22.2,43,36.9,0.0,7.8,2.8,2.3
30,2024-09-22,Wollongong,Clear,22.6,69,31.2,0.0,38.2,9.0,5.7
31,2024-09-23,Sydney,Light Rain,16.2,50,10.2,0.0,20.5,5.8,7.9
32,2024-09-23,Melbourne,Storm,16.1,41,33.3,0.0,13.1,4.2,5.2
33,2024-09-23,Brisbane,Cloudy,13.9,64,24.2,0.0,43.8,9.5,3.9
34,2024-09-23,Perth,Heavy Rain,19.3,88,19.1,0.0,15.8,1.9,1.5
35,2024-09-23,Adelaide,Storm,23.0,86,48.0,0.0,12.9,5.1,2.9
36,2024-09-23,Gold Coast,Storm,16.6,57,46.3,0.0,48.5,9.6,9.3
37,2024-09-23,Newcastle,Partly Cloudy,14.9,49,28.8,0.0,32.7,7.7,8.9
38,2024-09-23,Canberra,Storm,24.3,84,40.0,0.0,31.3,6.8,3.1
39,2024-09-23,Sunshine Coast,Partly Cloudy,18.3,51,16.3,0.0,48.4,8.1,8.7
40,2024-09-23,Wollongong,Cloudy,18.1,69,13.3,0.0,37.6,5.2,7.7
41,2024-09-24,Sydney,Partly Cloudy,17.4,80,14.5,28.6,16.7,3.3,8.3
42,2024-09-24,Melbourne,Heavy Rain,21.6,44,9.0,0.0,42.1,8.7,4.9
43,2024-09-24,Brisbane,Partly Cloudy,12.8,86,3.5,0.0,16.1,9.1,5.2
44,2024-09-24,Perth,Light Rain,17.9,44,10.7,40.9,11.2,9.6,9.5
45,2024-09-24,Adelaide,Partly Cloudy,17.8,49,1.4,0.0,48.7,2.2,4.3
