utilization_id,vehicle_id,date,total_shipments,total_weight_kg,total_volume_m3,total_distance_km,total_revenue,total_cost,capacity_utilization_pct,volume_utilization_pct,distance_utilization_km,revenue_per_km,cost_per_km,profit_per_km,utilization_score,efficiency_rating,maintenance_required
1,VH0003,2025-06-21,1,945.0,17.49,112.8,520.76,209.51,37.9,70.1,112.8,4.62,1.86,2.76,54.0,Good,False
2,VH0008,2025-06-21,1,8569.9,17.34,90.3,132.41,168.41,70.2,14.2,90.3,1.47,1.87,-0.4,42.2,Average,True
3,VH0010,2025-06-21,1,760.9,6.08,95.0,685.35,225.31,11.0,8.8,95.0,7.21,2.37,4.84,9.9,Excellent,False
4,VH0021,2025-06-21,1,5890.1,6.59,236.1,288.01,119.08,35.2,3.9,236.1,1.22,0.5,0.72,19.6,Poor,True
5,VH0026,2025-06-21,1,1923.8,7.33,163.0,268.21,149.52,9.7,3.7,163.0,1.65,0.92,0.73,6.7,Poor,False
6,VH0029,2025-06-21,1,2053.6,4.66,82.5,540.76,115.35,24.7,5.6,82.5,6.55,1.4,5.16,15.2,Excellent,False
7,VH0031,2025-06-21,1,17464.4,8.06,137.9,347.64,327.04,51.6,2.4,137.9,2.52,2.37,0.15,27.0,Poor,False
8,VH0035,2025-06-21,1,17688.4,11.67,255.2,246.17,225.4,78.4,5.2,255.2,0.96,0.88,0.08,41.8,Poor,False
9,VH0038,2025-06-21,1,7780.0,10.15,133.2,160.8,147.41,27.0,3.5,133.2,1.21,1.11,0.1,15.2,Excellent,False
10,VH0046,2025-06-21,1,470.8,11.31,192.7,234.14,232.8,2.8,6.7,192.7,1.22,1.21,0.01,4.8,Good,False
11,VH0047,2025-06-21,1,6508.8,5.8,152.5,723.25,160.15,28.7,2.6,152.5,4.74,1.05,3.69,15.6,Poor,False
12,VH0069,2025-06-21,1,6486.6,2.75,132.0,270.76,210.1,70.6,3.0,132.0,2.05,1.59,0.46,36.8,Poor,False
13,VH0071,2025-06-21,1,1751.5,11.89,147.1,165.8,295.42,11.8,8.0,147.1,1.13,2.01,-0.88,9.9,Good,False
14,VH0078,2025-06-21,1,403.4,9.41,65.8,222.91,185.22,32.4,75.6,65.8,3.39,2.81,0.57,54.0,Average,False
15,VH0084,2025-06-21,1,3064.9,0.21,253.0,597.2,248.69,65.4,0.4,253.0,2.36,0.98,1.38,32.9,Excellent,False
16,VH0087,2025-06-21,1,478.4,10.3,163.3,350.04,93.5,7.8,16.8,163.3,2.14,0.57,1.57,12.3,Average,False
17,VH0090,2025-06-21,1,774.9,0.6,182.0,169.7,123.86,6.7,0.5,182.0,0.93,0.68,0.25,3.6,Excellent,False
18,VH0091,2025-06-21,2,9754.4,24.35,304.7,354.77,375.92,116.5,29.1,304.7,1.16,1.23,-0.07,72.8,Poor,False
19,VH0095,2025-06-21,2,20354.9,13.44,272.0,922.72,285.98,73.3,4.8,272.0,3.39,1.05,2.34,39.1,Excellent,True
20,VH0098,2025-06-21,3,2129.8,35.13,608.3,1560.92,609.38,135.0,222.6,608.3,2.57,1.0,1.56,178.8,Poor,False
21,VH0106,2025-06-21,1,7498.7,19.59,87.2,271.38,133.76,29.1,7.6,87.2,3.11,1.53,1.58,18.4,Good,False
22,VH0108,2025-06-21,1,10064.5,16.08,219.4,554.26,218.02,47.1,7.5,219.4,2.53,0.99,1.53,27.3,Excellent,False
23,VH0110,2025-06-21,1,3177.4,17.78,189.9,122.14,341.48,73.8,41.3,189.9,0.64,1.8,-1.16,57.5,Poor,False
24,VH0114,2025-06-21,1,9421.0,4.69,169.9,629.14,162.99,50.4,2.5,169.9,3.7,0.96,2.74,26.5,Excellent,True
