maintenance_id,vehicle_id,maintenance_type,maintenance_date,odometer_reading,description,parts_cost,labor_cost,total_cost,maintenance_provider,next_maintenance_due_date,next_maintenance_due_mileage,maintenance_status,created_at,updated_at,_loaded_at
1,VH0001,Brake Service,2022-01-07,481520,Praesentium sed porro numquam blanditiis sint similique.,691.0136450206005,714.1853512675714,1104.44,Mathis PLC,2022-03-31,300262,COMPLETED,2024-08-31 00:43:32.552117,2025-09-14 11:32:54.233927,2025-09-20 02:37:58.447929
2,VH0001,Routine Service,2022-05-07,302834,Ipsa architecto quas perspiciatis quo.,184.11555658995695,190.28948907818278,294.27,Casey PLC,2022-10-07,153992,COMPLETED,2025-05-24 10:32:07.474049,2025-04-05 11:45:28.894738,2025-09-20 07:48:51.682123
3,VH0001,Routine Service,2025-07-08,469987,Maxime nobis maiores nesciunt rem neque officiis.,413.35434674523725,427.2153255662903,660.66,Hess PLC,2025-09-01,428129,COMPLETED,2024-08-08 11:21:14.662467,2025-08-25 17:48:56.441705,2025-09-20 07:25:23.158633
4,VH0001,Routine Service,2022-09-17,51251,Deserunt animi fuga deleniti ex sunt.,324.77215861186966,335.66271788052853,519.08,Mahoney Group,2023-01-24,214775,COMPLETED,2024-06-08 21:43:08.751309,2025-04-15 13:22:30.556125,2025-09-20 03:48:56.955741
5,VH0001,Tire Replacement,2022-08-23,164829,Nihil magni aperiam fuga aspernatur.,1016.0610979026966,1050.1325948394526,1623.96,Kidd-Kirby,2023-02-13,359157,COMPLETED,2024-09-14 14:04:10.181654,2025-08-31 22:33:48.455266,2025-09-19 22:46:45.248536
6,VH0001,Electrical Repair,2022-05-21,465016,Delectus repellat distinctio nesciunt rerum.,565.4732011093118,584.4351695176906,903.79,Stevenson PLC,2022-06-29,365390,COMPLETED,2025-05-04 14:11:36.249196,2024-11-27 03:11:54.464767,2025-09-20 08:16:26.778368
7,VH0001,Body Work,2021-10-13,51458,Non exercitationem iusto quae illo quos.,1197.1546742081207,1237.2987678057395,1913.4,"Martinez, Taylor and Hawkins",2022-02-17,221787,COMPLETED,2024-09-17 07:44:45.291622,2024-12-07 20:35:16.121307,2025-09-20 07:42:30.749878
8,VH0001,Oil Change,2022-09-02,158128,Vero possimus assumenda totam.,57.154844511817615,59.0714134206409,91.35,"Bernard, Flores and Fleming",2022-10-10,491557,COMPLETED,2024-06-09 14:35:02.437286,2025-05-07 08:01:34.049634,2025-09-19 20:36:18.231215
9,VH0001,Body Work,2022-12-08,455109,Dolor tempora amet beatae deleniti.,1700.2048995435516,1757.2177368091736,2717.42,Petty-Zimmerman,2023-02-05,377545,COMPLETED,2024-04-08 01:47:04.617471,2024-12-24 10:01:48.389085,2025-09-20 16:56:24.511491
10,VH0001,Tire Replacement,2022-08-23,223731,Inventore molestias illo reiciendis.,264.43265992856703,273.2998595303741,422.64,Clark-Haley,2023-01-31,411874,COMPLETED,2025-06-30 22:25:10.684929,2025-01-16 01:07:19.087153,2025-09-20 06:20:33.664708
