weather_id,location_id,date,hour,temperature_f,temperature_c,humidity_pct,wind_speed_mph,wind_direction_degrees,precipitation_mm,visibility_miles,weather_condition,weather_description,pressure_inhg,uv_index,sunrise_time,sunset_time,created_at,_loaded_at
1,62,2025-08-20,0,41.1,5.1,80,18.1,281,26.5,33.8,CLOUDY,Heavy rain,30.24,4,06:00:00,18:00:00,2025-09-09 21:40:14.271716,2025-09-20 17:20:29.734524
2,33,2025-08-20,0,65.5,18.6,40,26.6,150,0.0,13.6,STORM,Light rain,29.91,3,06:00:00,18:00:00,2025-08-23 11:11:07.992533,2025-09-20 16:50:41.555418
3,126,2025-08-20,0,57.5,14.2,37,18.2,199,31.6,19.4,PARTLY_CLOUDY,Clear skies,30.09,10,06:00:00,18:00:00,2025-09-07 17:15:32.856535,2025-09-20 18:38:59.949868
4,240,2025-08-20,0,45.1,7.3,77,10.9,1,31.3,31.0,STORM,Partly cloudy,29.55,0,06:00:00,18:00:00,2025-09-08 19:01:24.815152,2025-09-20 18:09:00.699946
5,138,2025-08-20,0,59.6,15.4,84,2.0,259,0.0,47.6,PARTLY_CLOUDY,Heavy rain,30.32,4,06:00:00,18:00:00,2025-09-17 19:27:25.631950,2025-09-20 16:31:22.178837
6,108,2025-08-20,0,67.3,19.6,48,15.3,334,38.8,46.4,HEAVY_RAIN,Partly cloudy,30.44,3,06:00:00,18:00:00,2025-09-14 10:56:16.820505,2025-09-19 23:06:02.596636
7,173,2025-08-20,0,43.9,6.6,91,21.8,235,0.0,15.9,FOG,Clear skies,29.91,7,06:00:00,18:00:00,2025-09-15 10:41:26.434305,2025-09-20 02:08:50.755729
8,216,2025-08-20,0,51.5,10.8,31,20.0,130,45.7,35.8,HEAVY_RAIN,Clear skies,29.89,11,06:00:00,18:00:00,2025-09-14 06:00:53.229299,2025-09-20 14:04:19.635488
9,72,2025-08-20,0,41.9,5.5,82,18.1,39,14.6,21.6,FOG,Clear skies,30.09,3,06:00:00,18:00:00,2025-09-13 09:22:09.138164,2025-09-20 04:59:29.361571
10,113,2025-08-20,0,67.6,19.8,44,7.3,286,0.0,7.3,CLOUDY,Thunderstorm,29.92,6,06:00:00,18:00:00,2025-09-17 05:30:44.650939,2025-09-20 12:13:40.276580
11,98,2025-08-20,1,44.9,7.2,46,1.3,55,0.0,22.5,LIGHT_RAIN,Overcast,29.84,7,06:00:00,18:00:00,2025-09-08 15:04:32.547558,2025-09-19 19:00:47.731895
12,16,2025-08-20,1,51.9,11.0,59,8.7,220,0.0,49.9,CLOUDY,Light rain,30.31,0,06:00:00,18:00:00,2025-08-31 11:31:35.457534,2025-09-20 00:40:02.306615
13,76,2025-08-20,1,58.9,14.9,45,6.0,220,0.0,39.6,PARTLY_CLOUDY,Foggy,29.56,6,06:00:00,18:00:00,2025-09-17 12:33:35.388358,2025-09-20 16:57:06.608717
14,31,2025-08-20,1,44.0,6.6,47,27.6,326,0.0,29.3,LIGHT_RAIN,Partly cloudy,29.87,4,06:00:00,18:00:00,2025-08-29 22:28:06.511237,2025-09-20 09:59:07.289476
15,191,2025-08-20,1,55.1,12.8,66,12.5,347,0.0,20.6,STORM,Foggy,29.75,3,06:00:00,18:00:00,2025-09-19 00:03:09.869648,2025-09-20 02:58:19.041408
16,223,2025-08-20,1,59.6,15.3,63,14.2,309,12.9,23.7,STORM,Overcast,30.25,1,06:00:00,18:00:00,2025-09-13 00:32:55.800462,2025-09-20 16:00:15.921104
17,193,2025-08-20,1,44.9,7.2,54,0.7,1,0.0,21.8,RAIN,Overcast,30.07,5,06:00:00,18:00:00,2025-08-28 10:36:15.706607,2025-09-20 18:05:25.913327
18,199,2025-08-20,1,49.6,9.8,45,5.4,67,0.0,7.6,PARTLY_CLOUDY,Light rain,29.86,11,06:00:00,18:00:00,2025-08-25 09:55:16.930605,2025-09-19 20:47:28.361303
19,118,2025-08-20,1,41.1,5.0,35,29.8,79,22.6,10.2,PARTLY_CLOUDY,Overcast,29.9,6,06:00:00,18:00:00,2025-09-08 23:28:44.496835,2025-09-19 23:01:38.335518
20,28,2025-08-20,1,66.3,19.1,40,16.0,131,0.0,9.9,CLEAR,Foggy,29.76,1,06:00:00,18:00:00,2025-08-25 04:12:17.520639,2025-09-20 06:24:30.546990
21,80,2025-08-20,2,62.8,17.1,83,12.5,257,0.0,42.2,STORM,Light rain,29.58,8,06:00:00,18:00:00,2025-09-10 16:10:44.832063,2025-09-19 22:41:17.238403
22,142,2025-08-20,2,55.5,13.0,62,10.6,81,0.0,27.6,RAIN,Partly cloudy,29.86,7,06:00:00,18:00:00,2025-09-08 14:49:01.140499,2025-09-20 12:12:36.557482
23,233,2025-08-20,2,65.4,18.6,93,22.6,297,10.1,18.3,PARTLY_CLOUDY,Overcast,30.16,11,06:00:00,18:00:00,2025-09-17 20:30:04.827562,2025-09-20 05:42:39.120885
24,14,2025-08-20,2,53.4,11.9,79,3.9,194,0.0,17.1,FOG,Foggy,30.25,4,06:00:00,18:00:00,2025-09-03 02:59:38.194879,2025-09-20 07:05:41.865072
25,57,2025-08-20,2,42.4,5.8,47,18.6,198,5.9,15.7,PARTLY_CLOUDY,Partly cloudy,30.22,4,06:00:00,18:00:00,2025-09-08 18:57:55.526022,2025-09-20 05:11:43.882113
26,112,2025-08-20,2,48.2,9.0,47,3.4,54,2.7,15.5,LIGHT_RAIN,Thunderstorm,29.65,2,06:00:00,18:00:00,2025-08-22 10:17:28.475202,2025-09-20 15:53:24.160106
27,29,2025-08-20,2,54.5,12.5,76,29.0,5,3.3,5.1,PARTLY_CLOUDY,Heavy rain,29.82,4,06:00:00,18:00:00,2025-09-19 08:32:23.531334,2025-09-19 20:59:12.137759
28,6,2025-08-20,2,51.6,10.9,67,16.4,340,0.0,20.8,RAIN,Foggy,30.21,7,06:00:00,18:00:00,2025-09-19 00:35:06.615040,2025-09-20 01:31:00.063878
29,67,2025-08-20,2,64.8,18.2,75,8.2,161,49.1,42.7,HEAVY_RAIN,Overcast,29.67,1,06:00:00,18:00:00,2025-09-10 15:51:49.451369,2025-09-20 12:33:48.313473
30,60,2025-08-20,2,59.5,15.3,71,24.9,128,23.6,20.0,PARTLY_CLOUDY,Light rain,29.9,2,06:00:00,18:00:00,2025-09-16 18:30:14.412441,2025-09-20 09:53:07.119964
31,60,2025-08-20,3,48.5,9.1,33,16.3,130,0.0,45.2,PARTLY_CLOUDY,Partly cloudy,29.85,7,06:00:00,18:00:00,2025-09-19 04:09:54.342588,2025-09-19 23:06:44.716100
32,211,2025-08-20,3,66.8,19.3,47,18.8,225,0.0,37.4,RAIN,Foggy,30.22,8,06:00:00,18:00:00,2025-09-17 07:58:06.618575,2025-09-20 18:23:29.454828
