customer_id,customer_name,customer_type,volume_segment,industry,preferred_delivery_window,service_level,credit_rating,payment_terms,signup_date,last_order_date,total_lifetime_value,average_order_value,delivery_flexibility_score,satisfaction_score
1,"Johnson, Miller and King",SME,Low Volume,Retail,Afternoon,Premium,Fair,Net 30,2025-07-20,2025-07-27,437221.0,2229.52,5.7,7.8
2,"Bryan, Smith and Booth",SME,Low Volume,Automotive,Afternoon,Standard,Poor,COD,2025-01-12,2025-05-07,169942.06,3478.89,6.8,9.4
3,"Cox, Avila and Garrett",Individual,Low Volume,Technology,Evening,Premium,Poor,Net 30,2022-11-17,2025-01-13,309112.27,1212.11,7.2,7.1
4,"Anderson, Roberts and Gilmore",Enterprise,Medium Volume,Technology,Morning,Premium,Excellent,Prepaid,2023-04-30,2024-06-26,84016.03,1532.36,1.3,7.3
5,"Lynch, Allen and Moore",SME,High Volume,Healthcare,Any,Standard,Good,Prepaid,2022-10-20,2024-05-28,283398.1,3972.97,2.5,6.3
6,Walker Inc,Individual,Low Volume,Automotive,Afternoon,Express,Good,Net 15,2024-05-16,2024-12-28,231113.81,1307.19,3.3,6.0
7,Jimenez Ltd,SME,Low Volume,Automotive,Afternoon,Standard,Poor,COD,2023-01-25,2023-11-03,493838.2,1530.81,9.7,8.8
8,Davenport-Baird,SME,Low Volume,Manufacturing,Any,Express,Excellent,Net 15,2024-10-31,2025-01-17,191300.78,1826.85,3.7,8.8
9,Lee-Greene,Individual,High Volume,Technology,Evening,Standard,Excellent,Prepaid,2024-05-15,2025-05-17,416586.61,4519.53,8.0,6.9
10,Hill Group,Enterprise,Low Volume,Automotive,Afternoon,Premium,Fair,Net 15,2023-02-15,2024-01-02,314495.8,4521.85,6.8,7.2
11,Hoover-Campbell,Individual,Low Volume,Healthcare,Afternoon,Standard,Fair,COD,2025-01-29,2025-04-08,373992.95,919.42,2.2,8.2
12,"Burns, Hernandez and Ryan",Individual,Low Volume,Food & Beverage,Evening,Standard,Fair,Prepaid,2024-06-23,2024-11-26,483724.65,1510.95,8.8,9.2
13,"Bennett, Cantu and Kane",Enterprise,Low Volume,Manufacturing,Afternoon,Premium,Poor,COD,2024-05-15,2025-09-09,46061.13,2003.14,3.4,6.5
14,Hall-Rowe,Individual,Medium Volume,Automotive,Evening,Premium,Poor,COD,2023-06-07,2023-07-13,55064.7,1207.42,1.2,9.5
15,"Mcintyre, James and Mcneil",Individual,Low Volume,Manufacturing,Morning,Premium,Poor,COD,2024-12-13,2025-07-22,324970.48,627.55,1.4,6.1
16,Simpson Inc,Enterprise,Low Volume,Retail,Afternoon,Premium,Good,Prepaid,2024-09-02,2024-10-20,227368.23,3368.91,7.7,9.8
17,Kane-Sawyer,Individual,Low Volume,Automotive,Afternoon,Express,Excellent,Prepaid,2025-08-12,2025-08-28,308210.45,4698.31,3.5,8.8
18,Smith-Thomas,SME,Medium Volume,Manufacturing,Evening,Standard,Fair,COD,2024-04-17,2025-07-13,31214.49,1415.61,9.7,9.8
19,Harrison LLC,Enterprise,Low Volume,Automotive,Afternoon,Premium,Excellent,Net 30,2025-08-17,2025-08-28,393610.5,1255.67,2.1,8.3
20,"Miller, Murphy and Craig",Individual,High Volume,Manufacturing,Afternoon,Standard,Fair,Net 15,2024-10-17,2025-04-14,394533.23,3000.11,3.5,9.9
